,,PARTE DE NOVEDADES 25/07/2026,NEGLIGENCIAS,,,,,,,,,
Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Columna 1,Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7,Columna 8,Columna 9,Columna 10,Columna 11,Columna 12,Columna 13,Columna 14,Columna 15,Columna 16
1.0,MLH643,MOTOR EN RECTIFICADORA - REEMPLAZADO,,,,A LA ESPERA DE REPUESTOS,,2026-06-03 00:00:00,,,,,,,,,,,,,,,,,,,,,
2,CQD 623,SE ESTA REPARANDO EL FURGON  Y PINTANDO ,,,,PENDIENTE,,2026-06-08 00:00:00,,,,,,,,,,,,,,,,,,,,,
3,LTJ 767,CAMBIAR FURGÓN Y COLOCAR LA PALA REEMPLAZADO,,,,PENDIENTE,,2026-03-26 00:00:00,,,,,,,,,,,,,,,,,,,,,
4,NDE808,MOTOR EN TALLER DS,,,,PENDIENTE,,2026-04-15 00:00:00,,,,,,,,,,,,,,,,,,,,,
5,OBI942,SE ESTA REPARANDO EL FURGON ,,,,PENDIENTE,,2026-07-08 00:00:00,,,,,,,,,,,,,,,,,,,,,
6,NMG568, REVISIÓN GENERAL PARA VTV (OPERACIÓN FCA),,,,PENDIENTE,,2026-06-12 00:00:00,,,,,,,,,,,,,,,,,,,,,
7,JBR542,FABRICAR PARANTES FALTANTES,,,,PENDIENTE,,2026-07-15 00:00:00,,,,,,,,,,,,,,,,,,,,,
8,OGI195,REVISION PARA VTV -,,,,PENDIENTE,,2026-07-21 00:00:00,,,,,,,,,,,,,,,,,,,,,
9,OGM429,REPARAR ARCOS DEL SEMI - EN VOLTA,,,,PENDIENTE,,2026-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,
10,AE726TT,SE SACO Y DESARMO EL MOTOR. SE ENVIA A LA RECTIFICADORA,,,,PENDIENTE,,2026-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,
11,AE306ME,ARMADO DE LA UNIDAD,,,,PENDIENTE,,2026-07-20 00:00:00,,,,,,,,,,,,,,,,,,,,,
12,AE2871JU,ARMADO DE LA UNIDAD,,,,PENDIENTE,,2026-07-20 00:00:00,,,,,,,,,,,,,,,,,,,,,
13,AH680JS ,"FALLA SE LIMPIO EL DEPOSITO DE UREA, CAMBIO EL FILTRO. SIGUE SIN FUERZA",,,,PENDIENTE,,2026-07-21 00:00:00,,,,,,,,,,,,,,,,,,,,,
14,OIL690,REVISION PARA VTV ,,,,PENDIENTE,,2026-07-22 00:00:00,,,,,,,,,,,,,,,,,,,,,
15,MHS457,REVISAR FURGON (CRUZADO) - SE ENVIA AL ELASTIQUERO - A LA ESPERA DE PRESUPUESTO,,,,PENDIENTE,,2026-07-22 00:00:00,,,,,,,,,,,,,,,,,,,,,
16,AD959RL,SIN FUERZA,,,,PENDIENTE,,2026-07-24 00:00:00,,,,,,,,,,,,,,,,,,,,,
